URL,A,Track Name,Region,key_column
https://open.spotify.com/track/4efQTJSX6Jca1hHZNi74Zd,Carlos Baute,Amor y dolor,ec,Carlos Baute
https://open.spotify.com/track/0wLqXnCLseMice1Hwq6yLz,Juan MagГЎn,Si No Te Quisiera,ec,Juan MagГЎn
https://open.spotify.com/track/7JIjUx3GsL0upxmNJacmtz,Elvis Crespo,Suavemente,ec,Elvis Crespo
https://open.spotify.com/track/1PGENMzwUy16wlpZiuLS65,Karol G,Hello,ec,Karol G
https://open.spotify.com/track/1iRvhKiXRElIH2Uf4gd95P,Jesse & Joy,Dueles,ec,Jesse & Joy
https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,Hailee Steinfeld,Starving,ec,Hailee Steinfeld
https://open.spotify.com/track/0bMRpUsk1IWi5O2NIkWsqR,Luny Tunes,Mayor Que Yo 3,ec,Luny Tunes
https://open.spotify.com/track/2q5VkfuJpCHJiFkMqNsenl,Jencarlos,Bajito,ec,Jencarlos
https://open.spotify.com/track/27ebni0DfbT5Owz6W42HP8,Yandel,Nunca Me Olvides,ec,Yandel
https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums,Bacilos,Caraluna,ec,Bacilos
https://open.spotify.com/track/2Zw7rSucHm0MIph9gmNiSn,Alejandro Fernandez,Quiero Que Vuelvas,ec,Alejandro Fernandez
https://open.spotify.com/track/1HCw8XKtTgWWU3JlEUR0qQ,Deorro,Bailar - Radio Edit,ec,Deorro
https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,The Chainsmokers,All We Know,ec,The Chainsmokers
https://open.spotify.com/track/3WHqVVRvPDWz033iPs04md,Enzo Ortiz,6 AM (Remix),ec,Enzo Ortiz
https://open.spotify.com/track/12H7K15h3aC5vRCaca65el,Marc Anthony,Tu Amor Me Hace Bien - Salsa Version,ec,Marc Anthony
https://open.spotify.com/track/59hfezbTqi7I68O4OyLfcR,Carlos Vives,Cuando Nos Volvamos a Encontrar,ec,Carlos Vives
https://open.spotify.com/track/6NSMQFKgjpQb0KkjMDYIK0,Arcangel,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),ec,Arcangel
https://open.spotify.com/track/7cIkMEpDhT7Vpw1FHOQqKC,Justin Quiles,Si Ella Quisiera,ec,Justin Quiles
https://open.spotify.com/track/3SBjPXmpFIIKOvce7e6OXY,Villamizar,Te VivГ­,ec,Villamizar
https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ,Jonas Blue,Fast Car,ec,Jonas Blue
https://open.spotify.com/track/1WOJTQfNUEkLlsinPP95VM,Zion & Lennox,EmbriГЎgame (feat. Don Omar) - Remix,ec,Zion & Lennox
https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew,Drake,Too Good,ec,Drake
https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI,Justin Bieber,What Do You Mean?,ec,Justin Bieber
https://open.spotify.com/track/47TyfLrGhYHHyyQWk64d0M,Marc Anthony,Flor PГЎlida,ec,Marc Anthony
https://open.spotify.com/track/6ZvmnulA6jJY3lvveuCz77,CNCO,Tan FГЎcil - Urban Remix,ec,CNCO
https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,Shawn Mendes,Mercy,ec,Shawn Mendes
https://open.spotify.com/track/2xNZeeqmwMPVKnD7FSQfgt,Maluma,Sin Contrato - Remix,ec,Maluma
https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,Jonas Blue,By Your Side,ec,Jonas Blue
https://open.spotify.com/track/06sGPlylSN84nEQK23fZhQ,Billo's Caracas Boys,Lloraras,ec,Billo's Caracas Boys
https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,ec,James Arthur
https://open.spotify.com/track/0CrQ7dNvGPXmex621Waet8,El Vega,Te Encontre,ec,El Vega
https://open.spotify.com/track/0XXLwO7YHHTAK3OJkWQ37b,Justin Bieber,Sorry - Latino Remix,ec,Justin Bieber
https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,Alan Walker,Alone,ec,Alan Walker
https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson,Uptown Funk,ec,Mark Ronson
https://open.spotify.com/track/1nZziTuPRwCfJe1XvVC760,Luis Enrique,Yo No SГ© MaГ±ana (salsa),ec,Luis Enrique
https://open.spotify.com/track/7kxYYjOYRO8HamP4RKBhJ0,Ozuna,Si No Te Quiere,ec,Ozuna
https://open.spotify.com/track/0VjbN2rfs40mHQ5mZN9UCE,Paulina Rubio,Me Quema,ec,Paulina Rubio
